ANO;M“S;REGIONAL;MODALIDADE;OPERADOR;DISTRITO;MASSA (t);VIAGENS;PERCURSO (Km);Hora (h:mm);DIAS;COLETORES;HORAS;CLASSE
2021;Junho;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Serviáos Complementares;26,05;14;1.975,00;190:40:00;26;156;190,67;RPU
2021;Junho;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Capina;42,54;11;1.936,00;179:00:00;27;52;179,00;RPU
2021;Junho;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Capina;46,21;10;1.801,00;158:47:00;24;48;158,78;RPU
2021;Junho;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Capina;0,00;0;71,00;7:20:00;1;2;7,33;RPU
2021;Junho;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Zeis;75,34;27;2.694,00;176:06:00;27;54;176,10;RPU
2021;Junho;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Varriá∆o Mecanizada;4,59;4;676,00;31:18:00;9;18;31,30;RPU
2021;Abril;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Varriá∆o Manual;18,01;4;344,00;33:16:00;5;10;33,27;RPU
2021;Abril;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Varriá∆o Manual;46,86;8;1.371,00;75:44:00;14;28;75,73;RPU
2021;Abril;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Varriá∆o Manual;59,04;12;2.606,00;125:03:00;24;48;125,05;RPU
2021;Abril;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Varriá∆o Manual;42,03;8;1.201,00;73:11:00;13;26;73,18;RPU
2021;Abril;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Serviáos Complementares;61,48;18;1.800,00;176:00:00;24;144;176,00;RPU
2021;Abril;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Serviáos Complementares;29,25;12;1.763,00;128:00:00;24;144;128,00;RPU
2021;Abril;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Serviáos Complementares;55,64;18;2.083,00;169:56:00;22;26;169,93;RPU
2021;Abril;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Capina;49,95;17;1.676,00;144:57:00;19;38;144,95;RPU
2021;Abril;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Capina;7,60;2;97,00;8:57:00;1;2;8,95;RPU
2021;Abril;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Capina;4,65;1;305,00;33:38:00;5;10;33,63;RPU
2021;Abril;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Zeis;74,79;24;2.205,00;150:47:00;24;48;150,78;RPU
2021;Abril;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Varriá∆o Mecanizada;1,70;1;613,00;30:10:00;8;16;30,17;RPU
2021;Maio;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Varriá∆o Manual;29,05;7;373,00;29:38:00;5;10;29,63;RPU
2021;Maio;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Varriá∆o Manual;72,55;12;2.284,00;120:39:00;23;46;120,65;RPU
2021;Maio;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Varriá∆o Manual;67,26;11;2.614,00;133:41:00;24;48;133,68;RPU
2021;Maio;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Serviáos Complementares;57,98;16;1.605,00;183:20:00;25;150;183,33;RPU
2021;Maio;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Serviáos Complementares;36,04;12;1.980,00;133:20:00;25;150;133,33;RPU
2021;Maio;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Serviáos Complementares;44,58;16;1.908,00;169:34:00;23;46;169,57;RPU
2021;Maio;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Capina;47,25;16;1.934,00;165:39:00;22;44;165,65;RPU
2021;Maio;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Capina;5,47;2;164,00;15:32:00;2;4;15,53;RPU
2021;Maio;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;capina;4,27;1;95,00;5:58:00;1;2;5,97;RPU
2021;Maio;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Zeis;62,32;24;2.402,00;155:26:00;24;48;155,43;RPU
2021;Maio;BARREIRO;LIMPEZA DE VIAS;CONTRATADA;Varriá∆o Mecanizada;0,00;0;574,00;26:40:00;8;16;26,67;RPU
2021;Julho;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;TODOS;4.436,18;;;;;;;RDO
2021;Julho;BARREIRO;COLETA VILAS E LOCAIS DIF. ACESSO;CONTRATADA;Vilas e locais de dif°cil acesso;344,60;;;;;;;RDO
2021;Julho;BARREIRO;SERVIÄOS DE MULTITAREFA;CONTRATADA;Locais dep. Clandestina;325,37;;;;;;;RSU
2021;Julho;BARREIRO;SERVIÄOS DE MULTITAREFA;CONTRATADA;Coleta URPV Cam. Carroceira Madeira;211,60;;;;;;;RSU
2021;Julho;BARREIRO;COLETA CAÄAMBAS;CONTRATADA;URPV;1.471,20;;;;;;;RCC
2021;Julho;BARREIRO;COLETA DEP.CLANDESTINA CARREG. MEC∂NICO;CONTRATADA;Locais dep. Clandestina;413,40;39;3.056,00;117:20:00;;;117,33;RPU
2021;Junho;BARREIRO;COLETA SELETIVA PMPV;COOPERATIVA;B.12CS;0,92;4;162,00;12:49:00;4;8;12,82;RDO
2021;Junho;BARREIRO;COLETA SELETIVA PMPV;COOPERATIVA;B.18CS;3,58;5;379,00;19:32:00;5;10;19,53;RDO
2021;Julho;BARREIRO;COLETA SELETIVA PMPV;COOPERATIVA;B.12CS;2,16;4;198,00;12:44:00;4;8;12,73;RDO
2021;Julho;BARREIRO;COLETA SELETIVA PMPV;COOPERATIVA;B.18CS;2,63;4;337,00;20:08:00;4;8;20,13;RDO
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.03A;152,44;14;1.302,00;71:30:00;;;71,50;RDO
2021;Agosto;BARREIRO;COLETA DOMICILIAR C/ COMPACTADOR;CONTRATADA;B.04A;206,59;19;1.528,00;99:20:00;;;99,33;RDO
