Codigo unidade,Nome oficial,Nome popular,Area,Perimetro,Aberto,Legislacao,Cercamento,Telefone,Nome categoria,Ano criacao,Ano abertura,Endereco,Bairro popular,TGC,Regional,Zoneamento 2019,Bacia hidrografica
3070,Parque Olinto Marinho Couto,Bosque Sao Bento II,"43494,86","1278,19",Nao,Lei Municipal nº 9.986/2010,Sim,3277-4161,Parque,2010,2000,"Rua Desembargador Mello Junior, 505",Sao Bento,CS4,Centro-Sul,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
3071,Parque Hugo Furquim Werneck,,"12214,94","540,1",Nao,Lei Municipal n°. 9.837/2010,Nao,3277-5621,Parque,2010,2010,"Rua Geraldo Ferreira da Gloria, 453",Jardim Vitoria,NE2,Nordeste,Preservacao Ambiental - 1,Bacia do Rio das Velhas
3072,Parque do Bairro Havai,,"12484,95","786,41",Sim,Decreto Municipal nº. 14.324/2011,Sim,3277-5972,Parque,2011,2013,"Rua Manila, 300",Havai,O4,Oeste,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
3073,Parque Municipal do Bairro Trevo,,"52361,99","1331,81",Sim,Lei Municipal n°. 10.441/2012 e Decreto Municipal nº. 18.489/2023,Parcial,3277-7112,Parque,2012,2012,"Rua Comendador Barbosa Melo, 25",Trevo,P1,Pampulha,Preservacao Ambiental - 1,Bacia do Ribeirao do Onca
3074,Parque da Reserva Ecologica do Bairro Estoril,,"16206,46","719,08",Nao,,Parcial,3277-5972,Parque,2012,2012,"Rua Jose Maria Figueiro, 100",Estoril,O5,Oeste,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
3075,Parque Ecologico Universitario,Parque Universitario,"30942,87","916,36",Sim,Decreto Municipal nº. 13.646/2009 e Decreto Municipal nº. 14.796/2012,Sim,,Parque,2012,2013,"Rua Aristoteles Ribeiro Vasconcelos, 87A",Santa Rosa,P3,Pampulha,Preservacao Ambiental - 1,Bacia do Ribeirao do Onca
3076,Parque Ecologico Jardim Vitoria,,"9953,84","379,4",Sim,,Sim,3277-5621,Parque,2014,2014,"Rua Armindo Goncalves Ferreira, 5",Jardim Vitoria,NE2,Nordeste,Ocupacao Moderada - 2,Bacia do Rio das Velhas
3077,Parque Municipal Tiao dos Santos,,"7727,71","445,62",Sim,Decreto Municipal n°. 16.297/2016,Sim,3277-5621,Parque,2016,2016,"Rua Operario Silva, 290",Sao Gabriel,NE1,Nordeste,Ocupacao Moderada - 3,Bacia do Ribeirao do Onca
3078,Parque Real,,"72445,74","1437,04",Sim,,Sim,,Parque,2018,2018,"Rua Tres Mil e Setenta e Quatro, 201",Paulo VI,NE1,Nordeste,Preservacao Ambiental - 1,Bacia do Rio das Velhas
3079,Parque do Bicao,,"4266,48","370,6",Sim,,Sim,,Parque,2022,2022,"Av. Artur Bernardes, 1580",Vila Barragem Santa Lucia,CS5,Centro-Sul,Zona de Especial Interesse Social - 1,Bacia do Ribeirao Arrudas
3080,Parque do Bairro Diamante,Parque Colina,"12760,47","748,15",Sim,,Sim,,Parque,2024,2024,"Rua Bela Emilia, 261",Olaria,B5,Barreiro,Preservacao Ambiental - 2,Bacia do Ribeirao Arrudas
3081,Parque Municipal Cerrado,Parque Cerrado,"175776,3","5003,7",Sim,,Parcial,,Parque,2024,2024,"Rua Quatro Mil Duzentos e Quarenta e Oito, 240",Maria Teresa,N2,Norte,Preservacao Ambiental - 1,Bacia do Ribeirao do Onca
